,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
868,11094000.0,15328000.0,23637000.0,16364000.0,15446000.0,10998000.0,12211000.0,17688000.0,12530000.0,15978000.0,14437000.0,14692000.0,16882000.0,13639000.0,16585000.0,15303000.0,15915000.0,13546000.0
869,13846000.0,15010000.0,16511000.0,15106000.0,13304000.0,10529000.0,12424000.0,14602000.0,11239000.0,16210000.0,18588000.0,12200000.0,15616000.0,13213000.0,13278000.0,11731000.0,9977900.0,13144000.0
870,73942000.0,87696000.0,89536000.0,74749000.0,79551000.0,65890000.0,69333000.0,75198000.0,73402000.0,95107000.0,111000000.0,86042000.0,95166000.0,82688000.0,103090000.0,87267000.0,110860000.0,98325000.0
871,93051000.0,118850000.0,129270000.0,118070000.0,106510000.0,107060000.0,127130000.0,139210000.0,133590000.0,115370000.0,122450000.0,93944000.0,106700000.0,117260000.0,116090000.0,121360000.0,129740000.0,111880000.0
872,82423000.0,114880000.0,122830000.0,99596000.0,118790000.0,72136000.0,102000000.0,120900000.0,99823000.0,125980000.0,138660000.0,97470000.0,125930000.0,94215000.0,102640000.0,99119000.0,93071000.0,112010000.0
873,11888000.0,14242000.0,16332000.0,13355000.0,16258000.0,11630000.0,12589000.0,13492000.0,15071000.0,19425000.0,14845000.0,14502000.0,16769000.0,13869000.0,12282000.0,14179000.0,19050000.0,14218000.0
874,8587400.0,9352500.0,13332000.0,11286000.0,12048000.0,8625800.0,9151400.0,10940000.0,9474200.0,14411000.0,9114900.0,7138800.0,9048400.0,10613000.0,13407000.0,10438000.0,14518000.0,13291000.0
875,23632000.0,26083000.0,30812000.0,26310000.0,30659000.0,26337000.0,26438000.0,29819000.0,24472000.0,32735000.0,29779000.0,27038000.0,32057000.0,23745000.0,26704000.0,20920000.0,23602000.0,23585000.0
876,19205000.0,28228000.0,29774000.0,25479000.0,28357000.0,20208000.0,24990000.0,24521000.0,21820000.0,21929000.0,22794000.0,22477000.0,24548000.0,25559000.0,33037000.0,27077000.0,22792000.0,26712000.0
877,20880000.0,19494000.0,33882000.0,21130000.0,21267000.0,18014000.0,20436000.0,24924000.0,22804000.0,27688000.0,14810000.0,20281000.0,23681000.0,26403000.0,23565000.0,22082000.0,32638000.0,25064000.0
